geneid	Enhancer_num	RPS
ENSGALG00000029624.p1	4	5.853519253922079
ENSGALG00000038527.p1	1	1.3936039487771212
ENSGALG00000051055.p1	3	4.109944610644779
ENSGALG00000048059.p1	1	1.7954659161256152
ENSGALG00000043771.p2	1	1.3431635241811835
ENSGALG00000006473.p1	2	2.677041698172077
ENSGALG00000029446.p1	1	1.2462349549904441
ENSGALG00000003674.p1	1	1.237356520834726
ENSGALG00000033051.p1	1	1.2071461260433753
ENSGALG00000006682.p1	2	2.3901609320855655
ENSGALG00000014575.p1	2	2.5352245283176247
ENSGALG00000035201.p1	1	1.312220545978936
ENSGALG00000050213.p1	1	1.1678797538753085
ENSGALG00000030324.p2	2	2.4390058954056135
ENSGALG00000030844.p1	1	1.2048986953465355
ENSGALG00000040444.p1	1	1.154496072126353
ENSGALG00000008427.p1	5	5.294686088625495
ENSGALG00000008439.p1	1	1.01772683106866
ENSGALG00000008382.p1	2	2.2519431921958537
ENSGALG00000051957.p1	3	3.1916781379425876
ENSGALG00000008301.p1	7	8.333302323898856
ENSGALG00000008306.p1	9	10.200061667251301
ENSGALG00000008309.p2	7	8.333302323898856
ENSGALG00000046379.p2	3	3.3288035424879103
ENSGALG00000050444.p1	1	1.0919523885193234
ENSGALG00000053565.p1	2	2.3963174644756915
ENSGALG00000008288.p2	2	2.1040340659238774
ENSGALG00000008298.p1	1	1.0379069566518224
ENSGALG00000045817.p1	1	1.0379069566518224
ENSGALG00000008193.p1	1	1.1044524177323323
ENSGALG00000008123.p1	1	1.1519196537026988
ENSGALG00000008132.p1	1	1.0402961401043371
ENSGALG00000008154.p1	1	1.0591319857994623
ENSGALG00000054032.p2	1	1.0363179958780606
ENSGALG00000008081.p2	6	6.6481937343193245
ENSGALG00000008050.p1	10	10.642351722983749
ENSGALG00000008060.p1	2	2.1365901766880384
ENSGALG00000042764.p1	3	3.2517301109310406
ENSGALG00000008009.p1	1	1.0361670699715393
ENSGALG00000023661.p2	5	5.2802644150479
ENSGALG00000007161.p1	2	2.4416912579731367
ENSGALG00000007183.p1	1	1.226991515723256
ENSGALG00000007917.p1	1	1.226991515723256
ENSGALG00000035940.p1	2	2.1664090513380136
ENSGALG00000043872.p2	3	3.21958255599651
ENSGALG00000007025.p1	1	1.0506912914636957
ENSGALG00000048109.p1	26	34.91781827848905
ENSGALG00000034274.p2	2	2.1263748338146433
ENSGALG00000054287.p1	3	3.308381940368221
ENSGALG00000031922.p1	1	1.0610372526501721
ENSGALG00000048222.p1	18	18.723415459471983
ENSGALG00000008539.p1	4	4.110428103738359
ENSGALG00000008551.p2	4	4.110428103738359
ENSGALG00000032659.p1	1	1.0086221225578933
ENSGALG00000023576.p1	16	16.473878184650975
ENSGALG00000008554.p1	1	0.9976155363320266
ENSGALG00000030705.p1	1	0.9616756001701682
ENSGALG00000019384.p1	1	1.051480150227402
ENSGALG00000039861.p1	3	3.0555083140189487
ENSGALG00000033997.p1	1	1.0424057577996448
ENSGALG00000049783.p1	2	2.280861531340617
ENSGALG00000031527.p1	1	1.0470497782913957
ENSGALG00000040954.p2	3	3.1988759847961186
ENSGALG00000008797.p1	2	2.255155475068386
ENSGALG00000039403.p1	1	1.0476432774638011
ENSGALG00000008805.p1	2	2.205400076727293
ENSGALG00000008814.p1	2	2.0231187596412443
ENSGALG00000008926.p1	1	1.0556247635752782
ENSGALG00000040114.p1	1	1.008568786903462
ENSGALG00000028069.p1	3	3.163078430785783
ENSGALG00000032986.p2	10	10.404603516836156
ENSGALG00000009110.p1	9	9.577562666380466
ENSGALG00000034574.p1	4	4.126306306513446
ENSGALG00000030173.p1	1	1.116056616777073
ENSGALG00000037206.p2	3	3.177048498960705
ENSGALG00000043437.p1	2	2.1564378915197207
ENSGALG00000036883.p1	9	8.858840808397561
ENSGALG00000040557.p1	2	2.2207094871799598
ENSGALG00000031934.p1	1	1.12551503950821
ENSGALG00000048658.p2	9	9.776830888808265
ENSGALG00000043287.p1	7	7.2451892916598615
ENSGALG00000033295.p1	1	1.0060193530895687
ENSGALG00000053114.p2	11	11.003745989879526
ENSGALG00000026838.p1	1	0.9445701594130372
ENSGALG00000009424.p2	1	1.0184852163553164
ENSGALG00000009435.p1	1	0.9655613079406724
ENSGALG00000009443.p2	1	1.002493170315672
ENSGALG00000009480.p1	5	4.969788377658421
ENSGALG00000009448.p1	1	0.9832468346349912
ENSGALG00000009446.p1	2	1.9462319265861205
ENSGALG00000009488.p2	6	5.794073606248025
ENSGALG00000052984.p2	1	1.0933273526534952
ENSGALG00000009492.p1	1	1.0153199372226709
ENSGALG00000009494.p1	1	1.0153199372226709
ENSGALG00000009497.p2	1	0.9917849608596556
ENSGALG00000009505.p2	1	1.0794607509140641
ENSGALG00000053908.p1	3	2.818344943980206
ENSGALG00000009523.p1	9	8.820716988552466
ENSGALG00000009572.p1	4	4.050324456571706
ENSGALG00000009544.p1	4	3.747082752190259
ENSGALG00000009547.p1	4	3.747082752190259
ENSGALG00000009540.p1	2	1.9884449167767337
ENSGALG00000009532.p1	2	1.8691259490577643
ENSGALG00000009556.p2	8	7.880283118419624
ENSGALG00000009595.p1	4	4.142624297359567
ENSGALG00000048820.p1	2	1.9458869411309339
ENSGALG00000009596.p1	2	1.986516240930953
ENSGALG00000053883.p1	4	3.857785062691162
ENSGALG00000009577.p1	3	3.0549832075364645
ENSGALG00000009586.p1	3	3.0549832075364645
ENSGALG00000009603.p2	5	4.817586944861198
ENSGALG00000009601.p1	13	12.387464002547336
ENSGALG00000028849.p1	1	1.1741904083473376
ENSGALG00000009638.p1	1	0.9409065000583988
ENSGALG00000008497.p1	11	12.003221684243412
ENSGALG00000009698.p1	1	1.0419237409683666
ENSGALG00000009743.p1	2	1.9801283344396845
ENSGALG00000009747.p1	2	1.9801283344396845
ENSGALG00000009739.p1	7	7.284286467126236
ENSGALG00000049710.p1	1	0.9882283553868991
ENSGALG00000050139.p1	1	0.9882283553868991
ENSGALG00000009755.p1	4	4.00664089784038
ENSGALG00000049735.p1	5	4.833536619860045
ENSGALG00000052108.p2	3	3.432473176310771
ENSGALG00000019361.p1	1	0.9682787961432904
ENSGALG00000009815.p2	8	7.818969915584278
ENSGALG00000040567.p1	3	3.06490643843179
ENSGALG00000009835.p1	2	2.0693623792318463
ENSGALG00000027682.p2	2	2.0693623792318463
ENSGALG00000049865.p1	2	2.0693623792318463
ENSGALG00000009840.p1	5	5.290718503127353
ENSGALG00000009825.p1	12	13.029193182733259
ENSGALG00000009859.p1	2	1.9722193249350881
ENSGALG00000009842.p1	4	4.207575757500061
ENSGALG00000039209.p1	6	6.419408357601608
ENSGALG00000009856.p2	1	0.9390005519654416
ENSGALG00000009873.p1	3	3.029607981334256
ENSGALG00000009875.p1	17	17.029459513735627
ENSGALG00000019358.p1	6	5.829512745628467
ENSGALG00000009879.p1	1	1.059989178881276
ENSGALG00000009885.p1	2	1.8995750584325206
ENSGALG00000033879.p1	2	1.9747121518231232
